award_id,tender_id,project_name,contractor,contract_amount,contract_date,participants_count,prefecture,municipality,use_type,floor_area_m2,bid_method,evaluation_score,price_score
AWD-2024-00001,TND-2024-00001,令和6年度　排水ポンプ車等管理運営業務（その３）,ミタニ建設工業株式会社,1240000,2024-04-01,22,大分県,南部地区,施設,100,随意契約,,
AWD-2024-00002,TND-2024-00002,【長崎森林管理署】令和6年度建設機械借上単価契約（島原地区）,前田建設工業株式会社,1719100,2024-04-19,13,長崎県,南部地区,施設,100,随意契約,,
AWD-2024-00003,TND-2024-00003,海上交通情報処理システム装置保守委託（整備）,ＯＫＩクロステック株式会社,6358800,2025-03-14,19,大阪府,旭区,施設,100,一般競争入札,,
AWD-2024-00004,TND-2024-00004,名瀬第二地方合同庁舎清掃等管理業務,有限会社名瀬ビルサービス,3200000,2024-11-07,16,東京都,大田区,庁舎,100,総合評価方式,84.1,87.2
AWD-2024-00005,TND-2024-00005,令和６年度　債権管理システム改良及び関係システム連携業務,ＴＤＣフューテック株式会社,1150000,2025-02-06,16,福岡県,城南区,施設,100,随意契約,,
AWD-2024-00006,TND-2024-00006,網走道路事務所外　除雪機械整備状況確認,奥村組株式会社,2636700,2024-05-23,23,新潟県,南部地区,道路,100,随意契約,,
AWD-2024-00007,TND-2024-00007,函館開発建設部　労働者派遣（一般事務）（単価契約）,テスコ株式会社,11719999,2024-04-01,23,和歌山県,北部地区,施設,100,一般競争入札,,
AWD-2024-00008,TND-2024-00008,建設業若年者理解・定着促進事業（「つなぐ化」事業）,株式会社東京リーガルマインド,19989528,2025-03-03,18,神奈川県,横浜市西区,施設,100,一般競争入札,,
AWD-2024-00009,TND-2024-00009,宮崎法務総合庁舎消防設備保守点検等業務委託契約,株式会社ナガタファイテック,980000,2025-02-26,22,宮崎県,北部地区,庁舎,100,総合評価方式,66.3,43.0
AWD-2024-00010,TND-2024-00010,【仙台】青葉山トンネル換気設備点検整備業務,株式会社荏原製作所,12200000,2024-07-01,12,奈良県,市街地,道路,243,総合評価方式,81.3,49.3
